سورہ نمبر,فعل (Verb),معنی (Meaning),حروف اصلی (Root Letters),مادہ/اصل کے مختلف اردو معانی,اردو میں مستعمل لفظ/جملے,عربی مثال,ترجمہ (مثال کا),صرفی و نحوی وضاحت
17,يَكْبُرُ,بڑی ہوتی ہے,كبر,برتری، عظمت، گھمنڈ,بڑا ہونا، عظمت حاصل کرنا، تکبر کرنا,الطفل يكبر بسرعة,بچہ تیزی سے بڑا ہوتا ہے,فعل مضارع، معروف، صیغہ سوم مذکر واحد، مرفوع
17,قُلِ,کہہ دیجئے کہ وہ ہستی,قول,بیان، اظہار، کہنا,کہنا، بیان کرنا، اظہار کرنا,قُلِ الحق يا محمد,محمد، حق کہہ دیجیے,فعل امر، معروف، صیغہ دوم مذکر واحد
17,قُلْ,کہہ دیجئے,قول,بیان، اظہار، کہنا,کہنا، بیان کرنا، بولنا,قل له أن يأتي,اسے کہ دو کہ وہ آئے,فعل امر، معروف، صیغہ دوم مذکر واحد
17,عَسَىٰٓ,امید ہے,عسي,امید، خیال، شاید,قریب آنا، نزدیک ہونا، پاس آنا,الموعد اقترب,میعاد قریب آگئی,فعل ماضی، معروف، صیغہ سوم مذکر واحد
17,يَكُونَ,وہ ہو,كون,ہونا، موجود ہونا، وجود میں آنا,ہونا، بننا، ہو جانا,يَكُونَ الطالب مجتهدا,طالب علم محنتی ہو,فعل مضارع، معروف، صیغہ سوم مذکر واحد، منصوب
17,يَنزَغُ,فساد ڈلواتا ہے,نزغ,خیال& ارادہ,فساد پھیلانا، بدمعاشی کرنا، شرارت کرنا,الشيطان ينزغ الناس,شیطان لوگوں میں فساد ڈلواتا ہے,فعل مضارع، معروف، صیغہ سوم مذکر واحد، مرفوع
17,كَانَ,ہے,كون,ہونا، موجود ہونا، وجود میں آنا,ہونا، موجود ہونا، وجود میں آنا,كان الوالد في المنزل,والد گھر میں تھے,فعل ماضی، معروف، صیغہ سوم مذکر واحد
17,يَشَأْ,وہ چاہے,شيأ,چیز، شے، مواد,چاہنا، خواہش کرنا، مرضی ہونا,إن الله يَشَأْ,اللہ چاہتا ہے,فعل مضارع، معروف، صیغہ سوم مذکر واحد، مجزوم
17,يَشَأْ,چاہے,شيأ,چیز، شے، مواد,چاہنا، خواہش کرنا، مرضی ہونا,إن الله يَشَأْ,اللہ چاہتا ہے,فعل مضارع، معروف، صیغہ سوم مذکر واحد، مجزوم
17,قُلِ,کہہ دیجئے,قول,بیان، اظہار، کہنا,کہنا، بیان کرنا، اظہار کرنا,قُلِ الحق يا محمد,محمد، حق کہہ دیجیے,فعل امر، معروف، صیغہ دوم مذکر واحد
17,كَانَ,ہے,كون,ہونا، موجود ہونا، وجود میں آنا,ہونا، موجود ہونا، وجود میں آنا,كان الوالد في المنزل,والد گھر میں تھے,فعل ماضی، معروف، صیغہ سوم مذکر واحد
17,كَانَ,ہے,كون,ہونا، موجود ہونا، وجود میں آنا,ہونا، موجود ہونا، وجود میں آنا,كان الوالد في المنزل,والد گھر میں تھے,فعل ماضی، معروف، صیغہ سوم مذکر واحد
17,نُّرْسِلَ,ہم بھیجیں,رسل,پیغمبر، رسول، اللہ کا بھیجا ہوا,بھیجنا، رسائی دینا، موصول کرانا,نحن نرسل الرسائل,ہم خط بھیجتے ہیں,فعل مضارع، معروف، صیغہ اول جمع، منصوب
17,كَذَّبَ,جھٹلایا,كذب,جھوٹ، فریب، دھوکہ,جھٹلانا، جھوٹ بولنا، تردید کرنا,هو كذب على الجميع,وہ سب پر جھوٹ بولتا ہے,فعل ماضی، معروف، صیغہ سوم مذکر واحد
17,نُرْسِلُ,ہم بھیجتے,رسل,پیغمبر، رسول، اللہ کا بھیجا ہوا,بھیجنا، پہنچانا، موصول کرانا,نحن نرسل الرسائل,ہم پیغامات بھیجتے ہیں,فعل مضارع، معروف، صیغہ اول جمع، مرفوع
17,أَحَاطَ,گھیر لیا ہے,حوط,گھیرنا، احاطہ کرنا، محیط ہونا,گھیرنا، محاصرہ کرنا، چاروں طرف سے بند کرنا,الموت أحاط بنا,موت نے ہمیں گھیر لیا ہے,فعل ماضی، معروف، صیغہ سوم مذکر واحد
17,قَالَ,اس نے کہا,قول,بیان، اظہار، کہنا,کہنا، بیان کرنا، بولنا,هو قال الحق,وہ نے سچ بولا,فعل ماضی، معروف، صیغہ سوم مذکر واحد
17,قَالَ,کہا,قول,بیان، اظہار، کہنا,کہنا، بیان کرنا، بولنا,هو قال الحق,وہ نے سچ بولا,فعل ماضی، معروف، صیغہ سوم مذکر واحد
17,قَالَ,فرمایا,قول,بیان، اظہار، کہنا,کہنا، بیان کرنا، بولنا,هو قال الحق,وہ نے سچ بولا,فعل ماضی، معروف، صیغہ سوم مذکر واحد
17,ٱذْهَبْ,جا,ذهب,سونا، زر، ذہب,جانا، چلے جانا، روانہ ہونا,اذهب إلى المدرسة,اسکول جاؤ,فعل امر، معروف، صیغہ دوم مذکر واحد
17,لَيْسَ,نہیں ہے,ليس,نہیں ہے، نہیں ہوتا، نہیں ہونا,نہیں ہونا، موجود نہ ہونا,ليس هناك ماء,وہاں پانی نہیں ہے,فعل ماضی، معروف، صیغہ سوم مذکر واحد
17,يُزْجِى,جو  چلاتا ہے,زجو,,چلانا، ہلاکرنا، اچھالنا,الرياح تزجي السفينة,ہوا کشتی کو چلا رہی ہے,فعل مضارع، معروف، صیغہ سوم مذکر واحد، مرفوع
17,كَانَ,ہے,كون,ہونا، موجود ہونا، وجود میں آنا,ہونا، موجود ہونا، وجود میں آنا,كان الوالد في المنزل,والد گھر میں تھے,فعل ماضی، معروف، صیغہ سوم مذکر واحد
17,ضَلَّ,گم ہوجاتے ہیں,ضلل,گمراہ ہونا، گم کردہ راستہ، بھٹک جانا,بھٹکنا، گم ہونا، خطا کرنا,ضَلَّ في الطريق المظلم.,وہ اندھیری راہ میں بھٹک گیا.,فعل ماضی، معروف، صیغہ سوم مذکر واحد
17,يَخْسِفَ,وہ دھنسا دے,خسف,,خسف کرنا، دھنسا دینا، غار کرنا,الأرض تخسف بالمنزل,زمین گھر کو دھنسا دے گی,فعل مضارع، معروف، صیغہ سوم مذکر واحد، منصوب
17,يُرْسِلَ,بھیجے,رسل,پیغمبر، رسول، اللہ کا بھیجا ہوا,بھیجنا، مرسل کرنا، پہنچانا,الله يرسل المطر,اللہ بارش بھیجتا ہے,فعل مضارع، معروف، صیغہ سوم مذکر واحد، منصوب
17,نَدْعُوا۟,ہم پکاریں گے,دعو,دعوت، بلانا، اپیل، مطالبہ,بلانا، پکارنا، آواز دینا,ندعو الناس إلى الخير,ہم لوگوں کو بھلاتے ہیں,فعل مضارع، معروف، صیغہ اول جمع، مرفوع
17,أُوتِىَ,دیا گیا,أتي,آنا، پہنچنا، لے آنا,آنا، پہنچنا، ملنا,أُوتِيَ الرجل الهدية,وہ آدمی کو تحفہ دیا گیا,فعل ماضی، مجہول، صیغہ سوم مذکر واحد
17,كَانَ,ہوا,كون,ہونا، موجود ہونا، وجود میں آنا,ہونا، موجود ہونا، وجود میں آنا,كان الوالد في المنزل,والد گھر میں تھے,فعل ماضی، معروف، صیغہ سوم مذکر واحد
17,تَرْكَنُ,کہ تو جھک جاتا,ركن,,جھکنا، تسلیم کرنا، مان لینا,أنت تركن للضغوط,تم دباؤ کے آگے جھک جاتے ہو,فعل مضارع، معروف، صیغہ دوم مذکر واحد، مرفوع
17,تَجِدُ,تم پاتے,وجد,پایا، ملا، چھان بین کیا,پانا، حاصل کرنا، ملنا,تَجِدُ الحق في القرآن,تم قرآن میں حق کو پائے گے,فعل مضارع، معروف، صیغہ دوم مذکر واحد، مرفوع
17,تَجِدُ,تو پائے گا,وجد,پایا، ملا، چھان بین کیا,پانا، حاصل کرنا، ملنا,تَجِدُ الحق في القرآن,تم قرآن میں حق کو پائے گے,فعل مضارع، معروف، صیغہ دوم مذکر واحد، مرفوع
17,أَقِمِ,قائم کرو,قوم,خراج، ادائیگی، قیام,قائم کرنا، استقامت دیکھانا، مستحکم ہونا,أقم الصلاة,نماز قائم کرو,فعل امر، معروف، صیغہ دوم مذکر واحد
17,كَانَ,ہے,كون,ہونا، موجود ہونا، وجود میں آنا,ہونا، موجود ہونا، وجود میں آنا,كان الوالد في المنزل,والد گھر میں تھے,فعل ماضی، معروف، صیغہ سوم مذکر واحد
17,عَسَىٰٓ,امید ہے,عسي,امید، خیال، شاید,قریب آنا، نزدیک ہونا، پاس آنا,الموعد اقترب,میعاد قریب آگئی,فعل ماضی، معروف، صیغہ سوم مذکر واحد
17,جَآءَ,آگیا,جيأ,آنا، لانا، پہنچانا,آنا، پہنچنا، موجود ہونا,هو جاء الى المكان,وہ جگہ پر آ گیا,فعل ماضی، معروف، صیغہ سوم مذکر واحد
17,كَانَ,ہے,كون,ہونا، موجود ہونا، وجود میں آنا,ہونا، موجود ہونا، وجود میں آنا,كان الوالد في المنزل,والد گھر میں تھے,فعل ماضی، معروف، صیغہ سوم مذکر واحد
17,يَزِيدُ,زیادہ ہوتا,زيد,زیادہ کرنا، بڑھانا، اضافہ کرنا,بڑھانا، زیادہ کرنا، اضافہ کرنا,الأمر يزيد في الصعوبة,معاملہ مشکل ہوتا جا رہا ہے,فعل مضارع، معروف، صیغہ سوم مذکر واحد، مرفوع
17,أَعْرَضَ,وہ منہ موڑ لیتا ہے,عرض,پیشکش، عرض، نمایاں کرنا,منہ پھیرنا، توجہ ہٹانا، نظر انداز کرنا,الطفل أعرض عن الطعام,بچہ نے کھانے سے منہ موڑ لیا,فعل ماضی، معروف، صیغہ سوم مذکر واحد
17,كَانَ,ہوجاتا ہے,كون,ہونا، موجود ہونا، وجود میں آنا,ہونا، موجود ہونا، وجود میں آنا,كان الوالد في المنزل,والد گھر میں تھے,فعل ماضی، معروف، صیغہ سوم مذکر واحد
17,قُلْ,کہہ دیجئے,قول,بیان، اظہار، کہنا,کہنا، بیان کرنا، بولنا,قل له أن يأتي,اسے کہ دو کہ وہ آئے,فعل امر، معروف، صیغہ دوم مذکر واحد
17,يَعْمَلُ,عمل کر رہے ہیں,عمل,کام کرنا، عمل کرنا، محنت کرنا,کام کرنا، عمل کرنا، انجام دینا,هو يعمل بجد,وہ سنگینی سے کام کرتا ہے,فعل مضارع، معروف، صیغہ سوم مذکر واحد، مرفوع
17,قُلِ,کہہ دیجئے,قول,بیان، اظہار، کہنا,کہنا، بیان کرنا، اظہار کرنا,قُلِ الحق يا محمد,محمد، حق کہہ دیجیے,فعل امر، معروف، صیغہ دوم مذکر واحد
17,تَجِدُ,تم پاتے,وجد,پایا، ملا، چھان بین کیا,پانا، حاصل کرنا، ملنا,تَجِدُ الحق في القرآن,تم قرآن میں حق کو پائے گے,فعل مضارع، معروف، صیغہ دوم مذکر واحد، مرفوع
17,كَانَ,ہے,كون,ہونا، موجود ہونا، وجود میں آنا,ہونا، موجود ہونا، وجود میں آنا,كان الوالد في المنزل,والد گھر میں تھے,فعل ماضی، معروف، صیغہ سوم مذکر واحد
17,قُل,کہہ دیجئے,قول,بیان، اظہار، کہنا,کہنا، بیان کرنا، بولنا,قل لهم الحق,انہیں حق بات کہہ دیجیے,فعل امر، معروف، صیغہ دوم مذکر واحد
17,ٱجْتَمَعَتِ,جمع ہوجائیں,جمع,مجموعہ، اکٹھا کرنا، اجتماع,جمع کرنا، اکٹھا کرنا، مجمع ہونا,النساء اجتمعت في الحديقة,عورتیں باغ میں جمع ہوگئیں,فعل ماضی، معروف
17,كَانَ,ہوں,كون,ہونا، موجود ہونا، وجود میں آنا,ہونا، موجود ہونا، وجود میں آنا,كان الوالد في المنزل,والد گھر میں تھے,فعل ماضی، معروف، صیغہ سوم مذکر واحد
17,نُّؤْمِنَ,ایمان لائیں گے,أمن,امن، سلامتی، امان,ایمان لانا، بھروسہ کرنا، یقین کرنا,نحن نؤمن بالله ورسوله,ہم اللہ اور اس کے رسول پر ایمان لاتے ہیں,فعل مضارع، معروف، صیغہ اول جمع، منصوب
17,تَفْجُرَ,تو جاری کرے,فجر,پھوڑنا,پھٹ پڑنا، برستنا، جواری کرنا,أنت تفجر البالون,تم گببہ پھاڑ سکتے ہو,فعل مضارع، معروف، صیغہ دوم مذکر واحد، منصوب
17,تَكُونَ,ہو وے,كون,ہونا، موجود ہونا، وجود میں آنا,ہونا، موجود ہونا,تكون السماء زرقاء,آسمان نیلا ہوتا ہے,فعل مضارع، معروف، صیغہ دوم مذکر واحد، منصوب
17,تُسْقِطَ,تو گرائے,سقط,گرنا,گرانا، گرا دینا، نیچے گرا دینا,أنت تسقط القلم,تم قلم گرا سکتے ہو,فعل مضارع، معروف، صیغہ دوم مذکر واحد، منصوب
17,تَأْتِىَ,تو لے آئے,أتي,آنا، پہنچنا، لے آنا,لے آنا، پہنچانا، موصول کرانا,أنت تأتي بالطعام,تم کھانا لے آ سکتے ہو,فعل مضارع، معروف، صیغہ دوم مذکر واحد، منصوب
17,يَكُونَ,ہو,كون,ہونا، موجود ہونا، وجود میں آنا,ہونا، بننا، ہو جانا,يَكُونَ الطالب مجتهدا,طالب علم محنتی ہو,فعل مضارع، معروف، صیغہ سوم مذکر واحد، منصوب
17,تَرْقَىٰ,تو چڑھ جائے,رقي,,ترقی کرنا، بڑھنا، اوپر چڑھنا,أنت ترقى في الحياة,تو زندگی میں چڑھ رہا ہے,فعل مضارع، معروف، صیغہ دوم مذکر واحد، مرفوع
17,نُّؤْمِنَ,مانیں گے,أمن,امن، سلامتی، امان,ایمان لانا، بھروسہ کرنا، یقین کرنا,نحن نؤمن بالله ورسوله,ہم اللہ اور اس کے رسول پر ایمان لاتے ہیں,فعل مضارع، معروف، صیغہ اول جمع، منصوب
17,تُنَزِّلَ,تو اتار لائے,نزل,نیچے اتارنا، مہمان نوازی کرنا، ٹھہرنا,نازل کرنا، اتارنا، نیچے لانا,أنت تُنَزِّلَ الغيث,تو بارش کو نازل کرتا ہے,فعل مضارع، معروف، صیغہ دوم مذکر واحد، منصوب
17,قُلْ,کہہ دیجئے,قول,بیان، اظہار، کہنا,کہنا، بیان کرنا، بولنا,قل له أن يأتي,اسے کہ دو کہ وہ آئے,فعل امر، معروف، صیغہ دوم مذکر واحد
17,مَنَعَ,روکا,منع,روکنا، منع کرنا، باز رکھنا,روکنا، منع کرنا، باز رکھنا,هو منع الطفل من اللعب,اس نے بچے کو کھیلنے سے روکا,فعل ماضی، معروف، صیغہ سوم مذکر واحد
17,قُل,کہہ دیجئے,قول,بیان، اظہار، کہنا,کہنا، بیان کرنا، بولنا,قل لهم الحق,انہیں حق بات کہہ دیجیے,فعل امر، معروف، صیغہ دوم مذکر واحد
17,كَانَ,ہوتے,كون,ہونا، موجود ہونا، وجود میں آنا,ہونا، موجود ہونا، وجود میں آنا,كان الوالد في المنزل,والد گھر میں تھے,فعل ماضی، معروف، صیغہ سوم مذکر واحد
17,قُلْ,کہہ دیجئے,قول,بیان، اظہار، کہنا,کہنا، بیان کرنا، بولنا,قل له أن يأتي,اسے کہ دو کہ وہ آئے,فعل امر، معروف، صیغہ دوم مذکر واحد
17,كَفَىٰ,کافی ہے,كفي,کافی ہونا، اکافی ہونا، بس کرنا,کافی ہونا، بس کرنا، پورا ہونا,كفى العمل,کام کافی ہے,فعل ماضی، معروف، صیغہ سوم مذکر واحد
17,كَانَ,ہے,كون,ہونا، موجود ہونا، وجود میں آنا,ہونا، موجود ہونا، وجود میں آنا,كان الوالد في المنزل,والد گھر میں تھے,فعل ماضی، معروف، صیغہ سوم مذکر واحد
17,يَهْدِ,ہدایت دے,هدي,ہدایت، رہنمائی، راستہ دکھانے,راہنمائی کرنا، ہدایت دینا,يهدي الله من يشاء,اللہ جسے چاہتا ہے راہنمائی کرتا ہے,فعل مضارع، معروف، صیغہ سوم مذکر واحد، مجزوم
17,يُضْلِلْ,بھٹکادے,ضلل,گمراہ ہونا، گم کردہ راستہ، بھٹک جانا,امید کرنا، خواہش کرنا، توقع کرنا,عسى أن يكون خيرا,امید ہے کہ یہ بہتر ہو,فعل مضارع، معروف، صیغہ سوم مذکر واحد، مجزوم
17,تَجِدَ,تم پاؤ گے,وجد,پایا، ملا، چھان بین کیا,پانا، ملنا، حاصل کرنا,أنت تجد الحقيقة,تم حقیقت کو پاؤ گے,فعل مضارع، معروف، صیغہ دوم مذکر واحد، منصوب
17,خَبَتْ,آہستہ ہونے لگے گی,خبو,,خاموش ہونا، چپ ہونا، آہستہ ہونا,الصوت خبت في الغرفة,آواز کمرے میں آہستہ ہو گئی,فعل ماضی، معروف
17,خَلَقَ,جس نے پیدا کیا,خلق,پیدا کرنا، تخلیق، تشکیل,پیدا کرنا، تخلیق کرنا، بنانا,هو خلق الإنسان,اس نے انسان کو پیدا کیا,فعل ماضی، معروف، صیغہ سوم مذکر واحد
17,يَخْلُقَ,وہ پیدا کرے,خلق,پیدا کرنا، تخلیق، تشکیل,پیدا کرنا، تخلیق کرنا، بنانا,هو يخلق فكرة جديدة,وہ نیا خیال پیدا کرتا ہے,فعل مضارع، معروف، صیغہ سوم مذکر واحد، منصوب
17,قُل,کہہ دیجئے,قول,بیان، اظہار، کہنا,کہنا، بیان کرنا، بولنا,قل لهم الحق,انہیں حق بات کہہ دیجیے,فعل امر، معروف، صیغہ دوم مذکر واحد
17,قَالَ,اس نے کہا,قول,بیان، اظہار، کہنا,کہنا، بیان کرنا، بولنا,هو قال الحق,وہ نے سچ بولا,فعل ماضی، معروف، صیغہ سوم مذکر واحد
17,أَنزَلَ,اتارا,نزل,نیچے اتارنا، مہمان نوازی کرنا، ٹھہرنا,نازل کرنا، اتارنا، لانا,أنزل الله القرآن,اللہ نے قرآن نازل کیا,فعل ماضی، معروف، صیغہ سوم مذکر واحد
17,جَآءَ,آجائے گا,جيأ,آنا، لانا، پہنچانا,آنا، پہنچنا، موجود ہونا,هو جاء الى المكان,وہ جگہ پر آ گیا,فعل ماضی، معروف، صیغہ سوم مذکر واحد
17,نَزَلَ,وہ اترا,نزل,نیچے اتارنا، مہمان نوازی کرنا، ٹھہرنا,نیچے اترنا، نزول کرنا، کم ہونا,هو نزل من السيارة,وہ گاڑی سے اترا,فعل ماضی، معروف، صیغہ سوم مذکر واحد
17,قُلْ,کہہ دیجئے,قول,بیان، اظہار، کہنا,کہنا، بیان کرنا، بولنا,قل له أن يأتي,اسے کہ دو کہ وہ آئے,فعل امر، معروف، صیغہ دوم مذکر واحد
17,يُتْلَىٰ,پڑھی جاتی ہیں,تلو,تلاوت، قرآن پڑھنا، منت خوانی,تلاوت کرنا، قرآن پڑھنا، پڑھ کر سنانا,القرآن يُتْلَىٰ في المساجد,قرآن مساجد میں پڑھا جاتا ہے,فعل مضارع، مجہول، صیغہ سوم مذکر واحد، منصوب
17,كَانَ,ہے,كون,ہونا، موجود ہونا، وجود میں آنا,ہونا، موجود ہونا، وجود میں آنا,كان الوالد في المنزل,والد گھر میں تھے,فعل ماضی، معروف، صیغہ سوم مذکر واحد
17,قُلِ,کہہ دیجئے کہ,قول,بیان، اظہار، کہنا,کہنا، بیان کرنا، اظہار کرنا,قُلِ الحق يا محمد,محمد، حق کہہ دیجیے,فعل امر، معروف، صیغہ دوم مذکر واحد
17,تَجْهَرْ,تو بلند کر,جهر,سامنے، ظاہر، روبرو,بلند کرنا، آواز اٹھانا، زور دینا,أنت تجهر بالكلام,تو بات کو بلند کرتا ہے,فعل مضارع، معروف، صیغہ دوم مذکر واحد، مجزوم
17,تُخَافِتْ,پست کر,خفت,,کم کرنا، پست کرنا، آواز کم کرنا,أنت تخافت الصوت,تو آواز کم کرتا ہے,فعل مضارع، معروف، صیغہ دوم مذکر واحد، مجزوم
17,يَتَّخِذْ,اس نے بنایا,أخذ,لینا، گرفت، سمجھنا,بنانا، تیار کرنا، قائم کرنا,هو يتخذ قراراً,اس نے فیصلہ بنایا,فعل مضارع، معروف، صیغہ سوم مذکر واحد، مجزوم
17,يَكُن,ہے,كون,ہونا، موجود ہونا، وجود میں آنا,ہونا، موجود ہونا، بستی بنانا,هل يكون موجودا؟,کیا وہ موجود ہوتا ہے؟,فعل مضارع، معروف، صیغہ سوم مذکر واحد، مجزوم
17,يَكُن,ہے,كون,ہونا، موجود ہونا، وجود میں آنا,ہونا، موجود ہونا، بستی بنانا,هل يكون موجودا؟,کیا وہ موجود ہوتا ہے؟,فعل مضارع، معروف، صیغہ سوم مذکر واحد، مجزوم
18,أَنزَلَ,جس نے اتارا,نزل,نیچے اتارنا، مہمان نوازی کرنا، ٹھہرنا,نازل کرنا، اتارنا، لانا,أنزل الله القرآن,اللہ نے قرآن نازل کیا,فعل ماضی، معروف، صیغہ سوم مذکر واحد
18,يَجْعَل,بنایا,جعل,بنانا، تشکیل دینا، ڈالنا,بنانا، تشکیل دینا,الله يجعل الليل والنهار,اللہ رات اور دن کو بنا دے گا,فعل مضارع، معروف، صیغہ سوم مذکر واحد، مجزوم
18,ٱتَّخَذَ,بنا لیا,أخذ,لینا، گرفت، سمجھنا,لینا، بنانا، قبول کرنا,اتخذ الرجل الغريب مأوى في الكوخ,غریب آدمی نے کٹیا پناہ گاہ بنائی,فعل ماضی، معروف، صیغہ سوم مذکر واحد
18,كَبُرَتْ,سبہت بڑی ہے,كبر,برتری، عظمت، گھمنڈ,بڑھنا، توسیع کرنا، اضافہ کرنا,المدينة كبرت,شہر بہت بڑا ہو گیا ہے,فعل ماضی، معروف
18,تَخْرُجُ,نکلتی ہے,خرج,نکلنا، باہر نکلنا، خارج کرنا,نکلنا، بہر آنا، خارج ہونا,الشمس تخرج من الشرق,سورج مشرق سے نکلتا ہے,فعل مضارع، معروف، مرفوع
18,أَوَى,پناہ لی,أوي,پناہ دینا,پناہ لینا، محفوظ ہونا، بچنا,هو أوى إلى الكهف,وہ غار میں پناہ لے لیا,فعل ماضی، معروف، صیغہ سوم مذکر واحد
18,نَقُصُّ,ہم سناتے ہیں/ بیان کرتے ہیں,قصص,کہانی، افسانہ، داستان,قصے سنانا، کہانی بیان کرنا,نقص عليكم من نبأ موسى,ہم آپ کو موسیٰ کی کہانی بیان کر رہے ہیں,فعل مضارع، معروف، صیغہ اول جمع، مرفوع
18,نَّدْعُوَا۟,ہم پکاریں گے,دعو,دعوت، بلانا، اپیل، مطالبہ,بلانا، پکارنا، آواز دینا,نحن ندعو الناس إلى الحق,ہم لوگوں کو حق کی طرف بلاتے ہیں,فعل مضارع، معروف، صیغہ اول جمع، منصوب
18,ٱفْتَرَىٰ,جو گھڑ لے,فري,جھوٹ گھڑنا، بناوٹ، فریب,گھڑنا، بنانا، تیار کرنا,افترى الكذبة ليضل الناس,وہ لوگوں کو گمراہ کرنے کے لیے جھوٹ گھڑ لیا,فعل ماضی، معروف، صیغہ سوم مذکر واحد
18,يَنشُرْ,نچھاور کرے گا/ پھیلائے گا,نشر,,پھیلانا، بکھیرنا، نشر کرنا,هو ينشر الأخبار,وہ خبریں پھیلا رہا ہے,فعل مضارع، معروف، صیغہ سوم مذکر واحد، مجزوم
18,طَلَعَت,وہ طلوع ہوتا کہ,طلع,نمودار ہونا، ظاہر ہونا، آگاہ کرنا,طلوع ہونا، نکلنا، ظہور پزیر ہونا,الشمس طلعت من الشرق,سورج مشرق سے طلوع ہوتا ہے,فعل ماضی، معروف
18,تَّزَٰوَرُ,وہ بچ جاتا ہے,زور,,بچنا، محفوظ رہنا، زندہ رہنا,هو يتزور من الموت,وہ موت سے بچ جاتا ہے,فعل مضارع، معروف، مرفوع
18,غَرَبَت,غروب ہوتا ہے,غرب,مغرب، غروب، تمہید,غروب ہونا، ڈوبنا، کم ہونا,الشمس غربت في الغرب,سورج مغرب میں ڈوب گیا,فعل ماضی، معروف
18,يَهْدِ,ہدایت دے,هدي,ہدایت، رہنمائی، راستہ دکھانے,راہنمائی کرنا، ہدایت دینا,يهدي الله من يشاء,اللہ جسے چاہتا ہے راہنمائی کرتا ہے,فعل مضارع، معروف، صیغہ سوم مذکر واحد، مجزوم
18,يُضْلِلْ,وہ بھٹکادے,ضلل,گمراہ ہونا، گم کردہ راستہ، بھٹک جانا,امید کرنا، خواہش کرنا، توقع کرنا,عسى أن يكون خيرا,امید ہے کہ یہ بہتر ہو,فعل مضارع، معروف، صیغہ سوم مذکر واحد، مجزوم
18,تَجِدَ,تو پائے گا,وجد,پایا، ملا، چھان بین کیا,پانا، ملنا، حاصل کرنا,أنت تجد الحقيقة,تم حقیقت کو پاؤ گے,فعل مضارع، معروف، صیغہ دوم مذکر واحد، منصوب
18,قَالَ,کہا,قول,بیان، اظہار، کہنا,کہنا، بیان کرنا، بولنا,هو قال الحق,وہ نے سچ بولا,فعل ماضی، معروف، صیغہ سوم مذکر واحد
18,قَالَ,کہا,قول,بیان، اظہار، کہنا,کہنا، بیان کرنا، بولنا,هو قال الحق,وہ نے سچ بولا,فعل ماضی، معروف، صیغہ سوم مذکر واحد
18,قُل,کہہ دیجئے,قول,بیان، اظہار، کہنا,کہنا، بیان کرنا، بولنا,قل لهم الحق,انہیں حق بات کہہ دیجیے,فعل امر، معروف، صیغہ دوم مذکر واحد
18,تُمَارِ,تم جھگڑا کرو,مري,شک کرنا، تردید کرنا، سوچ بچار کرنا,جھگڑنا، تنازع کرنا، مقابلہ کرنا,أنت تمار في الشارع,تم سڑک پر جھگڑتے ہو,فعل مضارع، معروف، صیغہ دوم مذکر واحد، مجزوم
18,تَسْتَفْتِ,تم پوچھنا,فتي,فتوی، رائے، مشورہ,پوچھنا، سوال کرنا، استفتاء کرنا,أنت تستفت في الأمور الدينية,تم دینی معاملات میں پوچھتے ہو,فعل مضارع، معروف، صیغہ دوم مذکر واحد، مجزوم
18,يَشَآءَ,چاہے,شيأ,چیز، شے، مواد,چاہنا، خواہش کرنا، ارادہ رکھنا,الله يشاء الخير للبشر,اللہ انسانوں کے لئے بھلا چاہتا ہے,فعل مضارع، معروف، صیغہ سوم مذکر واحد، منصوب
18,عَسَىٰٓ,امید ہے,عسي,امید، خیال، شاید,قریب آنا، نزدیک ہونا، پاس آنا,الموعد اقترب,میعاد قریب آگئی,فعل ماضی، معروف، صیغہ سوم مذکر واحد
18,قُلِ,کہہ دیجئے کہ,قول,بیان، اظہار، کہنا,کہنا، بیان کرنا، اظہار کرنا,قُلِ الحق يا محمد,محمد، حق کہہ دیجیے,فعل امر، معروف، صیغہ دوم مذکر واحد
18,أَبْصِرْ,کیا خوب دیکھنے والا ہے,بصر,دیکھنا، بصیرت، ادراک,دیکھنا، بصریت ہونا، نظر چکانا,أنت أبصر الحقيقة,تم حقیقت کو اچھی طرح دیکھتے ہو,فعل امر، معروف، صیغہ دوم مذکر واحد
18,يُشْرِكُ,وہ شریک کرتا,شرك,شرک کرنا، بہت پرستی کرنا، ساتھی بنانا,شریک کرنا، مشترک کرنا، برابر کرنا,هو يشرك في الأرباح,وہ منافع میں شریک کرتا ہے,فعل مضارع، معروف، صیغہ سوم مذکر واحد، مرفوع
18,أُوحِىَ,وحی کیا گیا,وحي,وحی، احمریت، ایلہام، الہام,وحی کرنا، الہام دینا، خیال دلانا,أوحي الله القرآن للنبي,اللہ نے قرآن کو نبی کو وحی کیا,فعل ماضی، مجہول، صیغہ سوم مذکر واحد
18,تَجِدَ,تو پائے گا,وجد,پایا، ملا، چھان بین کیا,پانا، ملنا، حاصل کرنا,أنت تجد الحقيقة,تم حقیقت کو پاؤ گے,فعل مضارع، معروف، صیغہ دوم مذکر واحد، منصوب
18,تَعْدُ,پھیریئے,عدو,دشمن، حریف، مخالف,پھیرنا، مڑنا، گھومنا,إنك تعد الأيام,تم دن گنتے ہو,فعل مضارع، معروف، مجزوم
18,تُرِيدُ,تم چاہتے ہو,رود,چاہنا، خواہش,چاہنا، خواستگار ہونا، ارادہ کرنا,أنت تريد الخبز,تم روٹی چاہتے ہو,فعل مضارع، معروف، صیغہ دوم مذکر واحد، مرفوع
